time,altitude,interior_humidity
1479753173,8.476049014,53.35086209
1479753175,8.729594142,53.65896004
1479753176,9.172944001,53.78013984
1479753177,9.061368972,53.86161299
1479753178,9.085698263,53.93372802
1479753179,9.222453614,53.96732388
1479753180,9.518265525,54.06010168
1479753181,9.21276512,54.10585777
1479753182,9.129271015,54.12405018
1479753184,8.995126553,54.10367315
1479753185,9.228890381,54.17541879
1479753186,8.789189938,54.16569166
1479753187,8.92652503,54.15504254
1479753188,9.026717756,54.16216299
1479753189,9.270796168,53.9112818
1479753190,9.021931962,53.53006602
1479753191,9.189077539,53.30143586
1479753192,9.238637255,53.17698676
1479753194,8.959441698,53.02511276
1479753195,8.966070067,52.71978133
1479753196,9.129437769,52.5226662
1479753197,9.074025532,52.39312517
1479753198,9.229824213,52.25846463
1479753199,8.849828261,52.1984235
1479753200,9.162363415,52.1720256
1479753201,9.036514467,52.22760021
1479753203,9.101014573,52.256619
1479753204,8.735371951,52.20291023
1479753205,9.051046966,52.24164171
1479753206,9.199699841,52.30349031
1479753207,9.096487213,52.34842507
1479753208,9.181348446,52.31733135
1479753209,8.908607667,52.13122434
1479753210,9.173102418,52.04430897
1479753212,9.131397129,52.02328298
1479753213,9.10282385,52.09492086
1479753214,9.163022096,52.28192644
1479753215,9.279575893,52.30999339
1479753216,9.3678238,52.46963807
1479753217,9.421845162,52.57561892
1479753218,9.354941761,52.58715895
1479753219,9.192045779,52.49930976
1479753220,9.121541966,52.22483262
1479753222,9.186642916,51.89762961
1479753223,9.070857222,51.57874006
1479753224,9.199007807,51.47411564
1479753225,9.254070519,51.38205158
1479753226,9.284678643,51.2093004
1479753227,9.3276519,51.43957082
1479753228,9.184066551,51.51941851
1479753229,9.132589421,51.45173062
1479753231,9.113029179,51.54642941
1479753232,9.14006001,51.62405622
1479753233,9.156793813,51.70724845
1479753234,9.001379752,51.73149093
1479753235,8.920046761,51.81880644
1479753236,9.179230658,51.98395406
1479753237,9.375102785,52.03919192
1479753238,9.381814798,52.05654424
1479753240,9.21530814,52.00253013
1479753241,8.894909118,51.99864332
1479753242,9.371842667,51.97674615
1479753243,9.203009932,51.69256601
1479753244,9.048620713,51.59536781
1479753245,9.275390306,51.43680984
1479753246,9.182999319,51.39904217
1479753247,9.137767139,51.43375678
1479753249,9.214215892,51.47762918
1479753250,9.278900529,51.51759812
1479753251,9.277916666,51.57334432
1479753252,9.138484182,51.6133846
1479753253,9.267019137,51.66424373
1479753254,9.113129232,51.65414766
1479753255,9.125752504,51.67618695
1479753256,9.309542077,51.64867161
1479753257,9.091334529,51.57889895
1479753259,9.085456471,51.60159157
1479753260,8.91356016,51.62998622
1479753261,9.145279419,51.63589037
1479753262,8.99090773,51.62628787
1479753263,9.413207062,51.6220265
1479753264,9.022190428,51.5844086
1479753265,9.300003583,51.60658609
1479753266,8.893550102,51.68411786
1479753268,8.943341866,51.75112538
1479753269,9.295059245,51.80625512
1479753270,9.02305754,52.01054691
1479753271,8.947977548,52.26362661
1479753272,9.090167255,52.41221703
1479753273,9.328710808,52.51216093
1479753274,9.146296621,52.56829723
1479753275,9.365439163,52.57954763
1479753277,9.191203666,52.55844412
1479753278,9.575497819,52.57047367
1479753279,9.662047252,52.55974971
1479753280,9.360561496,52.54923174
1479753281,9.439388199,52.34688817
1479753282,9.408054221,52.1121431
1479753283,9.524560729,51.83373217
1479753284,9.174186324,51.65928825
1479753285,9.587496296,51.62648556
1479753287,9.362495887,51.687243
1479753288,9.459791188,51.81835963
1479753289,9.45396295,51.88488765
1479753290,9.295150961,51.88006522
1479753291,9.511536749,51.88063045
1479753292,9.352273638,51.89821849
1479753293,9.380797573,51.93059033
1479753294,9.321857087,52.11163885
1479753296,9.207545676,52.25083868
1479753297,9.530855936,52.30100591
1479753298,9.55847985,52.34533114
1479753299,9.402242688,52.37883769
1479753300,9.403251577,52.40796277
1479753301,9.461750611,52.43010353
1479753302,9.292874732,52.46347475
1479753303,10.88893353,52.47817245
1479753305,9.510752976,52.51458459
1479753306,9.318505268,52.5484151
1479753307,9.240680014,52.57177085
1479753308,9.22524677,52.59382166
1479753309,9.451319815,52.62792951
1479753310,9.468671128,52.65591781
1479753311,9.378646394,52.6786346
1479753312,9.378212823,52.69557498
1479753314,9.404985865,52.69708999
1479753315,9.345828457,52.73596868
1479753316,9.380755884,52.73143175
1479753317,9.410330476,52.72719319
1479753318,9.591006624,52.72783625
1479753319,9.229865902,52.69095216
1479753320,9.556720522,52.66339565
1479753321,9.455997413,52.65383617
1479753322,9.189794586,52.65470764
1479753324,9.5389605,52.64987026
1479753325,9.566617788,52.57913953
1479753326,9.407378849,52.52002899
1479753327,9.399657932,52.42693778
1479753328,9.442331496,52.3182006
1479753329,9.53088095,52.25339181
1479753330,9.486947987,52.27047081
1479753331,9.629303466,52.32600539
1479753333,9.440738947,52.39444115
1479753334,9.44032205,52.44426987
1479753335,9.114554977,52.45712726
1479753336,9.366881618,52.4850344
1479753337,9.450719482,52.46909433
1479753338,9.440021883,52.38747185
1479753339,9.564199752,52.4160188
1479753340,9.614211508,52.47213312
1479753342,9.211906329,52.53425668
1479753343,9.731662533,52.55755514
1479753344,9.457715034,52.57493808
1479753345,9.569661178,52.56447843
1479753346,9.565900715,52.56601178
1479753347,13.62948381,52.55126034
1479753348,9.454346496,52.62855626
1479753349,9.394813602,52.64603334
1479753351,9.611018019,52.65807474
1479753352,9.656135519,52.69206816
1479753353,9.657352885,52.70477609
1479753354,9.566976324,52.73897837
1479753355,9.584010983,52.76201028
1479753356,9.802645751,52.79621487
1479753357,9.60761608,52.81938649
1479753358,9.542962756,52.842398
1479753359,9.480686158,52.88208878
1479753361,9.377654183,52.9051942
1479753362,9.834114326,52.92258715
1479753363,9.634139567,52.93458972
1479753364,9.585286707,52.96244276
1479753365,9.726292743,52.97069198
1479753366,9.796808983,52.98304197
1479753367,9.811500969,52.99488516
1479753368,9.275665454,53.0141269
1479753370,9.570970253,53.03196269
1479753371,9.439855124,53.04410753
1479753372,9.553927277,53.05632206
1479753373,9.461200305,53.06837545
1479753374,9.449843996,53.08096041
1479753375,9.528121064,53.07130779
1479753376,9.747254952,53.03920826
1479753377,9.31236027,53.01266137
1479753379,9.512804127,53.00367484
1479753380,9.45625589,52.98772696
1479753381,9.57807428,52.92856495
1479753382,9.510552864,52.84789392
1479753383,9.616963079,52.83274713
1479753384,9.503523925,52.8616934
1479753385,9.520666874,52.90119873
1479753386,9.737115708,52.94068219
1479753387,9.57021149,52.96935602
1479753389,9.466895139,53.00395504
1479753390,9.560656081,53.01610332
1479753391,9.661805446,53.03417666
1479753392,9.640426502,53.05208941
1479753393,9.433059695,53.06914903
1479753394,9.580000373,53.08757105
1479753395,9.661105043,53.12153086
1479753396,9.583519037,53.139447
1479753398,9.874421591,53.14560411
1479753399,9.579350004,53.13652481
1479753400,9.680874767,53.13763388
1479753401,9.997178766,53.11663155
1479753402,9.556570438,52.96466117
1479753403,9.712234578,52.62476334
1479753404,9.893291181,52.26314318
1479753405,9.40914649,52.21004533
1479753407,9.684977135,52.04016476
1479753408,9.699777359,51.90926773
1479753409,9.843653309,52.0714168
1479753410,9.825058971,52.26472136
1479753411,9.410122028,52.44182809
1479753412,9.414357696,52.58053093
1479753413,9.518515666,52.69139845
1479753414,9.568860725,52.78053823
1479753416,9.388693573,52.83754646
1479753417,9.595350761,52.89310967
1479753418,9.504832991,52.94433437
1479753419,9.46027479,52.98467405
1479753420,9.480110837,53.04065622
1479753421,9.681233307,53.09154203
1479753422,9.419577243,53.12058491
1479753423,9.746196001,53.13816373
1479753424,9.507384421,53.1510382
1479753426,9.601612659,53.1736698
1479753427,9.272880622,53.20382678
1479753428,9.620498431,53.21496993
1479753429,9.509335515,53.22272699
1479753430,9.490533323,53.23539732
1479753431,9.645504414,53.25925891
1479753432,9.555586548,53.28752508
1479753433,9.242556018,53.31155134
1479753435,9.643511605,53.32348397
1479753436,9.619731327,53.3414415
1479753437,9.534824837,53.34246115
