time,pressure,calibrated_pressure,altitude,calibrated_altitude
1479753173,101298.6831,101460.4795,8.476049014359887,-5.004496856672631
1479753175,101295.642,101457.4335,8.729594141630514,-4.750871175339853
1479753176,101290.3245,101452.1075,9.172944001154974,-4.307386110034713
1479753177,101291.6627,101453.4479,9.06136897180113,-4.419000236281136
1479753178,101291.3709,101453.1556,9.08569826294115,-4.39466073118092
1479753179,101289.7307,101451.5128,9.22245361412206,-4.257865494204452
1479753180,101286.1829,101447.9593,9.518265525104653,-3.9619609682631562
1479753181,101289.8469,101451.6292,9.212765119656979,-4.267558130290126
1479753182,101290.8483,101452.6322,9.129271014586266,-4.351077636951231
1479753184,101292.4572,101454.2436,8.995126552770671,-4.485257027670741
1479753185,101289.6535,101451.4354,9.22889038133144,-4.251420385829988
1479753186,101294.9272,101456.7175,8.789189938441268,-4.691252424840059
1479753187,101293.28,101455.0677,8.9265250297467,-4.553878202525084
1479753188,101292.0783,101453.8641,9.026717755885329,-4.453656662495632
1479753189,101289.1509,101450.932,9.270796167598746,-4.209502103236446
1479753190,101292.1357,101453.9216,9.021931961775408,-4.458444602765667
1479753191,101290.131,101451.9137,9.189077539020218,-4.291248427180108
1479753192,101289.5366,101451.3183,9.238637255308277,-4.2416694455823745
1479753194,101292.8852,101454.6723,8.959441698389128,-4.5209540839423425
1479753195,101292.8057,101454.5927,8.966070067472174,-4.514325948366604
1479753196,101290.8463,101452.6301,9.129437768679054,-4.350902771286201
1479753197,101291.5109,101453.2958,9.074025532216183,-4.406335040745034
1479753198,101289.6423,101451.4242,9.229824213172833,-4.2504877600003965
1479753199,101294.1999,101455.9892,8.849828260834329,-4.63060914795642
1479753200,101290.4514,101452.2346,9.162363415453001,-4.317969685187563
1479753201,101291.9608,101453.7465,9.036514466708468,-4.443864276938257
1479753203,101291.1872,101452.9716,9.101014572996064,-4.379339220904512
1479753204,101295.5727,101457.3641,8.735371950890112,-4.7450925013035885
1479753205,101291.7865,101453.5719,9.051046966182184,-4.429325565113686
1479753206,101290.0036,101451.7861,9.199699840610265,-4.280623189959442
1479753207,101291.2415,101453.026,9.096487212809734,-4.383869061064615
1479753208,101290.2237,101452.0065,9.181348445665208,-4.2989758656403865
1479753209,101293.4949,101455.283,8.90860766689002,-4.571805732754001
1479753210,101290.3226,101452.1056,9.173102418208146,-4.307227897588746
1479753212,101290.8228,101452.6066,9.13139712940756,-4.348945941019338
1479753213,101291.1655,101452.9499,9.102823850080313,-4.37753228044312
1479753214,101290.4435,101452.2268,9.163022096210625,-4.317320182068215
1479753215,101289.0456,101450.8266,9.27957589305879,-4.200725389448053
1479753216,101287.9872,101449.7665,9.367823800472252,-4.112449890766584
1479753217,101287.3393,101449.1175,9.421845162127283,-4.0584066972951405
1479753218,101288.1417,101449.9213,9.35494176064094,-4.1253402752336115
1479753219,101290.0954,101451.8781,9.192045779185719,-4.288284020396532
1479753220,101290.941,101452.725,9.121541965563665,-4.358805031093652
1479753222,101290.1602,101451.943,9.186642915687116,-4.293688233257853
1479753223,101291.5489,101453.3339,9.070857221842743,-4.409507586235122
1479753224,101290.0119,101451.7944,9.199007806506415,-4.281314330328314
1479753225,101289.3515,101451.133,9.254070519222296,-4.226239459152566
1479753226,101288.9844,101450.7653,9.284678642870858,-4.195620902610244
1479753227,101288.469,101450.249,9.327651899693592,-4.1526282006379915
1479753228,101290.1911,101451.9739,9.18406655119179,-4.296261270450486
1479753229,101290.8085,101452.5923,9.1325894214242,-4.34775518879178
1479753231,101291.0431,101452.8272,9.113029179257865,-4.367315150346258
1479753232,101290.7189,101452.5026,9.140060009529407,-4.340285921767645
1479753233,101290.5182,101452.3015,9.156793812806427,-4.323540421850339
1479753234,101292.3822,101454.1685,9.001379752444336,-4.479003576969262
1479753235,101293.3577,101455.1455,8.920046761450067,-4.560356431124092
1479753236,101290.2491,101452.032,9.17923065841751,-4.301099244810757
1479753237,101287.8999,101449.6791,9.375102785350464,-4.105171979332226
1479753238,101287.8194,101449.5984,9.38181479767809,-4.098451981080871
1479753240,101289.8164,101451.5986,9.215308140141133,-4.265010067043477
1479753241,101293.6592,101455.4475,8.894909117552743,-4.585503244386928
1479753242,101287.939,101449.7182,9.371842666638258,-4.108427887709695
1479753243,101289.9639,101451.7464,9.203009932098212,-4.277317373351252
1479753244,101291.8156,101453.601,9.048620712710544,-4.4317486851578
1479753245,101289.0958,101450.8769,9.275390306022018,-4.20491389799281
1479753246,101290.2039,101451.9867,9.182999319498776,-4.2973271238588495
1479753247,101290.7464,101452.5301,9.137767138730851,-4.342575831404247
1479753249,101289.8295,101451.6117,9.214215891923232,-4.266100904656923
1479753250,101289.0537,101450.8347,9.278900529301609,-4.201399880999816
1479753251,101289.0655,101450.8465,9.27791666612029,-4.202382473551552
1479753252,101290.7378,101452.5215,9.138484181916283,-4.341859714251768
1479753253,101289.1962,101450.9774,9.267019136983436,-4.2132825829976355
1479753254,101291.0419,101452.8261,9.113129231554922,-4.367223554196244
1479753255,101290.8905,101452.6745,9.125752503969125,-4.354599930469703
1479753256,101288.6862,101450.4666,9.30954207720788,-4.170747943229799
1479753257,101291.3033,101453.0879,9.091334529017331,-4.389023417243152
1479753259,101291.3738,101453.1585,9.085456470515055,-4.394902211315639
1479753260,101293.4355,101455.2235,8.913560159642657,-4.566851309224148
1479753261,101290.6563,101452.4399,9.145279419128201,-4.335064925922779
1479753262,101292.5078,101454.2944,8.990907729508763,-4.489487056111102
1479753263,101287.4429,101449.2213,9.413207061734283,-4.067050296194793
1479753264,101292.1326,101453.9185,9.02219042795332,-4.458186470386863
1479753265,101288.8006,101450.5812,9.300003582982754,-4.18029077295796
1479753266,101293.6755,101455.4639,8.89355010237341,-4.586868831182073
1479753268,101293.0783,101454.8658,8.94334186596825,-4.537066431134008
1479753269,101288.8599,101450.6406,9.295059244570439,-4.185237052988668
1479753270,101292.1222,101453.9081,9.023057540332957,-4.457320477849862
1479753271,101293.0227,101454.81,8.94797754794854,-4.532420082396129
1479753272,101291.3173,101453.1019,9.090167254733387,-4.3901891840359895
1479753273,101288.4563,101450.2363,9.32871080833138,-4.151570659545541
1479753274,101290.6441,101452.4277,9.146296620674548,-4.334049038072408
1479753275,101288.0158,101449.7951,9.365439162771509,-4.1148314487872995
1479753277,101290.1055,101451.8882,9.19120366601419,-4.289125045994297
1479753278,101285.4965,101447.2718,9.575497819001612,-3.904710988026636
1479753279,101284.4585,101446.2322,9.662047251636977,-3.8181400939211017
1479753280,101288.0743,101449.8538,9.36056149644719,-4.119719470007112
1479753281,101287.1289,101448.9068,9.439388198843517,-4.040861335291993
1479753282,101287.5047,101449.2832,9.408054221472412,-4.07220480889373
1479753283,101286.1074,101447.8837,9.524560728539655,-3.955665567635151
1479753284,101290.3096,101452.0925,9.174186324373295,-4.306137064268114
1479753285,101285.3526,101447.1276,9.587496295731398,-3.8927030250415555
1479753287,101288.0511,101449.8305,9.362495886918623,-4.117779250613239
1479753288,101286.8842,101448.6617,9.45979118788091,-4.020451387274079
1479753289,101286.9541,101448.7318,9.453962949504785,-4.026288753062545
1479753290,101288.8588,101450.6394,9.295150960773753,-4.185137128166389
1479753291,101286.2636,101448.0401,9.51153674894158,-3.9686893816833617
1479753292,101288.1737,101449.9533,9.352273637872713,-4.128004952195624
1479753293,101287.8316,101449.6106,9.38079757316882,-4.099467891879613
1479753294,101288.5385,101450.3186,9.321857086586533,-4.158423857028538
1479753296,101289.9095,101451.6919,9.207545676290465,-4.272779159924539
1479753297,101286.0319,101447.808,9.530855935772706,-3.9493618359410902
1479753298,101285.7006,101447.4762,9.55847985031869,-3.9217319604285876
1479753299,101287.5744,101449.353,9.402242687850958,-4.078017164261837
1479753300,101287.5623,101449.3409,9.403251576528419,-4.077009578541038
1479753301,101286.8607,101448.6382,9.461750610666058,-4.018494495016057
1479753302,101288.8861,101450.6669,9.292874731545453,-4.187427071854472
1479753303,101269.7452,101431.4953,10.888933526774053,-2.5908729291695636
1479753305,101286.273,101448.0495,9.510752976042568,-3.969472142365703
1479753306,101288.5787,101450.3589,9.318505268107401,-4.161779673835554
1479753307,101289.5121,101451.2938,9.240680014481768,-4.2396293245546985
1479753308,101289.6972,101451.4792,9.225246770387457,-4.2550676181854215
1479753309,101286.9858,101448.7635,9.451319815292663,-4.0289284737591515
1479753310,101286.7777,101448.5551,9.468671128146525,-4.011574587952055
1479753311,101287.8574,101449.6365,9.378646393808594,-4.101624620205257
1479753312,101287.8626,101449.6417,9.378212822826754,-4.102057631236676
1479753314,101287.5415,101449.3201,9.404985864726768,-4.075277530115272
1479753315,101288.251,101450.0307,9.345828456629533,-4.1344501368148485
1479753316,101287.8321,101449.6111,9.380755883641541,-4.0995095275575295
1479753317,101287.4774,101449.2559,9.410330475839146,-4.069931494239427
1479753318,101285.3105,101447.0855,9.591006624053989,-3.889197230193531
1479753319,101289.6418,101451.4237,9.229865902103484,-4.250446124911832
1479753320,101285.7217,101447.4973,9.556720522457908,-3.9234890161751537
1479753321,101286.9297,101448.7073,9.455997412886063,-4.024248589928902
1479753322,101290.1224,101451.9051,9.189794585719937,-4.290532306513342
1479753324,101285.9347,101447.7107,9.538960499558016,-3.941259411680221
1479753325,101285.603,101447.3785,9.566617787786527,-3.9135962055588607
1479753326,101287.5128,101449.2914,9.407378849391534,-4.072887635913503
1479753327,101287.6054,101449.384,9.399657932190166,-4.0805985818005865
1479753328,101287.0936,101448.8715,9.442331496393308,-4.037921838913462
1479753329,101286.0316,101447.8078,9.530880949852872,-3.9493451814269065
1479753330,101286.5585,101448.3355,9.486947986733867,-3.993288024474168
1479753331,101284.8512,101446.6255,9.629303465640987,-3.850891556481656
1479753333,101287.1127,101448.8906,9.440738947188947,-4.03951233139378
1479753334,101287.1177,101448.8955,9.440322049529641,-4.039920363451529
1479753335,101291.0248,101452.809,9.114554976877116,-4.365799650171539
1479753336,101287.9985,101449.7778,9.366881618378102,-4.113390856065962
1479753337,101286.993,101448.7707,9.450719482061686,-4.0295280316713615
1479753338,101287.1213,101448.8991,9.440021883230656,-4.040220142102044
1479753339,101285.632,101447.4075,9.5641997524217,-3.9160111181045067
1479753340,101285.0322,101446.8067,9.614211508232984,-3.8659806777868653
1479753342,101289.8572,101451.6395,9.211906329277554,-4.26841581158078
1479753343,101283.6236,101445.3959,9.731662533231429,-3.7484981347297435
1479753344,101286.9091,101448.6866,9.457715033924615,-4.022524859945406
1479753345,101285.5665,101447.3419,9.569661177913076,-3.9105484185856767
1479753346,101285.6116,101447.3871,9.565900715169846,-3.914312352098932
1479753347,101236.8857,101398.5832,13.629483807482757,0.15051930634945165
