temperature,pressure,humidity,time,calibrated_pressure
22.64174917,101298.6831,53.35086209,1479753173,101460.4795
22.19888864,101295.642,53.65896004,1479753175,101457.4335
22.16110624,101290.3245,53.78013984,1479753176,101452.1075
22.15677056,101291.6627,53.86161299,1479753177,101453.4479
22.16544192,101291.3709,53.93372802,1479753178,101453.1556
22.17225514,101289.7307,53.96732388,1479753179,101451.5128
22.17101638,101286.1829,54.06010168,1479753180,101447.9593
22.18773973,101289.8469,54.10585777,1479753181,101451.6292
22.20260494,101290.8483,54.12405018,1479753182,101452.6322
22.21499262,101292.4572,54.10367315,1479753184,101454.2436
22.22056707,101289.6535,54.17541879,1479753185,101451.4354
22.23047722,101294.9272,54.16569166,1479753186,101456.7175
22.23295475,101293.28,54.15504254,1479753187,101455.0677
22.2465812,101292.0783,54.16216299,1479753188,101453.8641
22.25153627,101289.1509,53.9112818,1479753189,101450.932
22.26392396,101292.1357,53.53006602,1479753190,101453.9216
22.27259534,101290.131,53.30143586,1479753191,101451.9137
22.28374425,101289.5366,53.17698676,1479753192,101451.3183
22.29427379,101292.8852,53.02511276,1479753194,101454.6723
22.30232579,101292.8057,52.71978133,1479753195,101454.5927
22.30046763,101290.8463,52.5226662,1479753196,101452.6301
22.31533286,101291.5109,52.39312517,1479753197,101453.2958
22.33329502,101289.6423,52.25846463,1479753198,101451.4242
22.33453379,101294.1999,52.1984235,1479753199,101455.9892
22.34258579,101290.4514,52.1720256,1479753200,101452.2346
22.35001841,101291.9608,52.22760021,1479753201,101453.7465
22.36426426,101291.1872,52.256619,1479753203,101452.9716
22.37293565,101295.5727,52.20291023,1479753204,101457.3641
22.37665196,101291.7865,52.24164171,1479753205,101453.5719
22.39089782,101290.0036,52.30349031,1479753206,101451.7861
22.40080798,101291.2415,52.34842507,1479753207,101453.026
22.41567323,101290.2237,52.31733135,1479753208,101452.0065
22.41505384,101293.4949,52.13122434,1479753209,101455.283
22.42062831,101290.3226,52.04430897,1479753210,101452.1056
22.42806093,101290.8228,52.02328298,1479753212,101452.6066
22.43239663,101291.1655,52.09492086,1479753213,101452.9499
22.44044864,101290.4435,52.28192644,1479753214,101452.2268
22.4466425,101289.0456,52.30999339,1479753215,101450.8266
22.45469451,101287.9872,52.46963807,1479753216,101449.7665
22.47203731,101287.3393,52.57561892,1479753217,101449.1175
22.4769924,101288.1417,52.58715895,1479753218,101449.9213
22.47451485,101290.0954,52.49930976,1479753219,101451.8781
22.46708222,101290.941,52.22483262,1479753220,101452.725
22.4769924,101290.1602,51.89762961,1479753222,101451.943
22.46460468,101291.5489,51.57874006,1479753223,101453.3339
22.45903021,101290.0119,51.47411564,1479753224,101451.7944
22.46770161,101289.3515,51.38205158,1479753225,101451.133
22.48876073,101288.9844,51.2093004,1479753226,101450.7653
22.49185766,101288.469,51.43957082,1479753227,101450.249
22.51973003,101290.1911,51.51941851,1479753228,101451.9739
22.50238722,101290.8085,51.45173062,1479753229,101452.5923
22.5166331,101291.0431,51.54642941,1479753231,101452.8272
22.5253045,101290.7189,51.62405622,1479753232,101452.5026
22.53459529,101290.5182,51.70724845,1479753233,101452.3015
22.55503504,101292.3822,51.73149093,1479753234,101454.1685
22.5525575,101293.3577,51.81880644,1479753235,101455.1455
22.56060952,101290.2491,51.98395406,1479753236,101452.032
22.56494522,101287.8999,52.03919192,1479753237,101449.6791
22.57299725,101287.8194,52.05654424,1479753238,101449.5984
22.57919111,101289.8164,52.00253013,1479753240,101451.5986
22.59281762,101293.6592,51.99864332,1479753241,101455.4475
22.59281762,101287.939,51.97674615,1479753242,101449.7182
22.59715332,101289.9639,51.69256601,1479753243,101451.7464
22.60892167,101291.8156,51.59536781,1479753244,101453.601
22.61077983,101289.0958,51.43680984,1479753245,101450.8769
22.61573493,101290.2039,51.39904217,1479753246,101451.9867
22.63183898,101290.7464,51.43375678,1479753247,101452.5301
22.63245837,101289.8295,51.47762918,1479753249,101451.6117
22.64670427,101289.0537,51.51759812,1479753250,101450.8347
22.65537569,101289.0655,51.57334432,1479753251,101450.8465
22.67024098,101290.7378,51.6133846,1479753252,101452.5215
22.6838675,101289.1962,51.66424373,1479753253,101450.9774
22.69130015,101291.0419,51.65414766,1479753254,101452.8261
22.69253892,101290.8905,51.67618695,1479753255,101452.6745
22.69130015,101288.6862,51.64867161,1479753256,101450.4666
22.7036879,101291.3033,51.57889895,1479753257,101453.0879
22.71050116,101291.3738,51.60159157,1479753259,101453.1585
22.71917258,101293.4355,51.62998622,1479753260,101455.2235
22.72288891,101290.6563,51.63589037,1479753261,101452.4399
22.73465727,101292.5078,51.62628787,1479753262,101454.2944
22.74518687,101287.4429,51.6220265,1479753263,101449.2213
22.75138074,101292.1326,51.5844086,1479753264,101453.9185
22.75385829,101288.8006,51.60658609,1479753265,101450.5812
22.76129095,101293.6755,51.68411786,1479753266,101455.4639
22.77243993,101293.0783,51.75112538,1479753268,101454.8658
22.77553687,101288.8599,51.80625512,1479753269,101450.6406
22.7897828,101292.1222,52.01054691,1479753270,101453.9081
22.79969301,101293.0227,52.26362661,1479753271,101454.81
22.80588689,101291.3173,52.41221703,1479753272,101453.1019
22.81765526,101288.4563,52.51216093,1479753273,101450.2363
22.82942364,101290.6441,52.56829723,1479753274,101452.4277
22.83190119,101288.0158,52.57954763,1479753275,101449.7951
22.83871447,101290.1055,52.55844412,1479753277,101451.8882
22.84800529,101285.4965,52.57047367,1479753278,101447.2718
